sub,stim,trial,choice,fb
402,1,33,1,0
402,3,34,0,1
402,2,35,1,1
402,3,36,1,0
402,2,37,1,0
402,3,38,0,0
402,4,39,1,1
402,2,40,0,0
402,1,41,1,1
402,3,42,0,1
402,1,43,1,0
402,4,44,0,0
402,1,45,1,0
402,4,46,0,0
402,3,47,1,0
402,4,48,0,0
402,3,49,0,0
402,4,50,1,1
402,1,51,1,0
402,3,52,1,0
402,4,53,1,0
402,2,54,0,0
402,3,55,0,1
402,4,56,1,1
402,2,57,1,1
402,1,58,1,1
402,2,59,1,1
402,1,60,1,0
402,4,61,0,0
402,2,62,1,1
402,1,63,1,0
402,3,64,0,1
402,2,65,1,1
402,1,66,1,0
402,2,67,1,1
402,1,68,0,1
402,4,69,0,0
402,3,70,1,0
402,2,71,1,1
402,3,72,0,0
402,2,73,1,1
402,1,74,0,0
402,4,75,0,0
402,3,76,1,0
402,4,77,0,0
402,3,78,1,0
402,4,79,1,1
402,1,80,0,0
402,4,81,1,1
402,1,82,0,1
402,2,83,1,0
402,1,84,1,0
402,3,85,0,0
402,2,86,1,1
402,1,87,1,0
402,3,88,0,1
402,4,89,1,0
402,3,90,0,1
402,1,91,0,1
402,3,92,1,0
402,1,93,0,0
402,4,94,1,0
402,2,95,1,1
402,1,96,1,0
402,2,97,1,1
402,4,98,0,0
402,1,99,1,0
402,3,100,0,1
402,1,101,0,1
402,2,102,1,1
402,1,103,0,1
402,2,104,1,0
402,4,105,1,1
402,3,106,0,0
402,4,107,1,1
402,3,108,0,1
402,4,109,0,1
402,3,110,0,1
402,2,111,1,1
402,3,112,0,1
402,4,113,1,1
402,2,114,1,1
402,4,115,0,0
402,3,116,0,1
402,2,117,1,1
402,4,118,0,0
402,2,119,1,0
402,1,120,0,1
405,2,1,1,0
405,4,2,1,1
405,2,3,0,1
405,1,4,1,0
405,4,5,1,1
405,1,6,0,1
405,4,7,1,0
405,1,8,0,0
405,3,9,0,0
405,4,10,NaN,NaN
405,2,11,0,0
405,1,12,0,1
405,2,13,1,0
405,3,14,1,1
405,2,15,1,0
405,3,16,1,1
405,1,17,0,1
405,3,18,NaN,NaN
405,1,19,0,0
405,3,20,NaN,NaN
405,2,21,NaN,NaN
405,1,22,1,0
405,3,23,1,0
405,4,24,1,1
405,1,25,0,1
405,3,26,0,0
405,4,27,1,1
405,2,28,0,0
405,4,29,1,1
405,2,30,1,0
405,3,31,1,1
405,2,32,0,1
405,4,33,1,1
405,2,34,0,1
405,3,35,1,0
405,4,36,1,0
405,2,37,0,1
405,3,38,1,1
405,4,39,1,1
405,1,40,0,1
405,3,41,0,0
405,2,42,0,0
405,1,43,0,1
405,3,44,1,1
405,1,45,0,1
405,4,46,1,1
405,1,47,0,0
405,3,48,1,1
405,4,49,1,1
405,1,50,0,1
405,2,51,0,1
405,4,52,1,0
405,3,53,1,1
405,2,54,0,1
405,4,55,1,1
405,3,56,1,0
405,1,57,0,1
405,4,58,1,1
405,1,59,0,1
405,2,60,0,1
405,2,61,0,1
405,1,62,0,1
405,2,63,0,0
405,3,64,1,0
405,4,65,1,1
405,2,66,0,1
405,4,67,1,1
405,3,68,1,1
405,2,69,0,1
405,1,70,NaN,NaN
405,2,71,0,1
405,4,72,1,1
405,2,73,0,1
405,4,74,1,0
405,3,75,1,1
405,1,76,0,0
405,3,77,1,1
405,1,78,0,1
405,3,79,1,0
405,1,80,0,1
405,4,81,1,1
405,1,82,0,1
405,3,83,1,1
405,4,84,1,1
405,3,85,1,1
405,1,86,0,1
405,4,87,1,1
405,3,88,1,1
405,4,89,1,0
405,2,90,0,1
405,3,91,1,1
405,4,92,1,1
405,2,93,0,1
405,1,94,0,1
405,4,95,1,1
405,2,96,0,1
405,4,97,1,1
405,2,98,0,1
405,3,99,1,1
405,1,100,0,1
405,4,101,1,1
405,1,102,0,0
405,4,103,1,1
405,2,104,0,0
405,3,105,1,1
405,1,106,0,1
405,3,107,1,1
405,1,108,0,1
405,3,109,1,1
405,2,110,0,0
405,3,111,1,1
405,2,112,0,1
405,4,113,1,0
405,2,114,0,1
405,1,115,0,0
405,4,116,1,1
405,2,117,0,1
405,1,118,0,1
405,3,119,1,0
405,1,120,0,1
406,3,1,0,1
406,1,2,1,1
406,3,3,0,1
406,4,4,1,0
406,1,5,1,1
406,4,6,0,1
406,1,7,1,0
406,4,8,0,0
406,2,9,1,1
406,1,10,0,0
406,3,11,0,0
406,4,12,0,1
406,3,13,1,0
406,2,14,NaN,NaN
406,3,15,1,0
406,2,16,1,1
406,4,17,0,1
406,2,18,1,1
406,4,19,0,0
406,2,20,0,0
406,3,21,NaN,NaN
406,4,22,0,1
406,2,23,1,0
406,1,24,0,0
406,4,25,NaN,NaN
406,2,26,1,1
406,1,27,1,1
406,3,28,0,0
406,1,29,1,1
406,3,30,1,0
406,2,31,NaN,NaN
406,1,32,1,1
406,3,33,0,1
406,4,34,1,0
406,1,35,1,1
406,3,36,0,1
406,1,37,1,1
406,3,38,0,1
406,2,39,1,1
406,4,40,1,0
406,1,41,1,1
406,4,42,0,0
406,1,43,1,1
406,3,44,NaN,NaN
406,2,45,1,1
406,4,46,1,0
406,2,47,1,1
406,4,48,0,1
406,2,49,1,1
406,3,50,0,0
406,2,51,1,1
406,3,52,1,0
406,1,53,1,0
406,3,54,1,0
406,4,55,1,1
406,1,56,1,1
406,3,57,0,1
406,4,58,1,0
406,2,59,1,0
406,4,60,NaN,NaN
406,3,61,0,1
406,4,62,NaN,NaN
406,3,63,0,0
406,2,64,1,0
406,1,65,1,1
406,3,66,0,1
406,1,67,0,0
406,2,68,0,0
406,3,69,0,1
406,4,70,1,0
406,3,71,0,1
406,1,72,0,0
406,3,73,0,1
406,1,74,1,0
406,2,75,0,0
406,4,76,0,0
406,2,77,1,1
406,4,78,1,0
406,2,79,1,0
406,4,80,0,1
406,1,81,1,1
406,4,82,0,1
406,2,83,1,1
406,1,84,1,1
406,2,85,0,0
406,4,86,0,1
406,1,87,1,1
406,2,88,0,0
406,1,89,1,0
406,3,90,0,1
406,2,91,0,0
406,3,92,0,1
406,1,93,1,1
406,3,94,0,1
406,2,95,1,0
406,1,96,1,0
406,3,97,0,1
406,2,98,0,0
406,1,99,1,1
406,4,100,1,0
406,2,101,0,0
406,3,102,0,0
406,4,103,0,1
406,2,104,0,0
406,4,105,0,1
406,1,106,0,0
406,4,107,0,0
406,2,108,0,0
406,1,109,1,1
406,4,110,1,0
406,3,111,0,1
406,1,112,1,0
406,2,113,0,0
406,3,114,0,1
406,1,115,1,1
406,2,116,1,0
406,4,117,0,1
406,1,118,1,1
406,4,119,0,1
406,3,120,0,1
407,3,1,1,0
407,1,2,0,0
407,3,3,0,1
407,4,4,0,1
407,1,5,1,1
407,4,6,0,1
407,1,7,1,0
407,4,8,0,0
407,2,9,1,1
407,1,10,NaN,NaN
407,3,11,0,0
407,4,12,0,1
407,3,13,1,0
407,2,14,0,0
407,3,15,1,0
407,2,16,1,1
407,4,17,1,0
407,2,18,0,0
407,4,19,1,1
407,2,20,0,0
407,3,21,1,0
