Sub	Run	Trial	OldT	Delay	LuckyDeck	ObjPP	OldObjLuckyDeck	ObjDeckMatch	Outcome	Resp	RT	DeckC	LuckyDeckC	OldObjC	RevT	OldDeckPP	OldDeck	EncRevT	Enc_Pay1	OptObj	PP	StayResp
27	4	182	0	NaN	2	NaN	NaN	NaN	0.4	1	737.470976979239	1	0	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	0
27	4	183	0	NaN	2	NaN	NaN	NaN	1	2	766.710569994757	2	1	NaN	13	NaN	NaN	NaN	NaN	NaN	0.4	0
27	4	184	0	NaN	2	NaN	NaN	NaN	0.6	1	1265.80833099433	1	0	NaN	14	NaN	NaN	NaN	NaN	NaN	1	0
27	4	185	0	NaN	2	NaN	NaN	NaN	0.4	2	973.962746997131	1	0	NaN	15	NaN	NaN	NaN	NaN	NaN	0.6	1
27	4	186	0	NaN	2	NaN	NaN	NaN	0.6	1	1168.30045200186	2	1	NaN	16	NaN	NaN	NaN	NaN	NaN	0.4	0
27	4	187	0	NaN	2	NaN	NaN	NaN	0.6	2	875.886571011506	2	1	NaN	17	NaN	NaN	NaN	NaN	NaN	0.6	1
27	4	188	1	10	2	0	0	1	0	1	1313.15496901516	1	0	0	18	0.6	2	8	0.4	1	0.6	0
27	4	189	1	26	1	1	0	0	1	2	1195.7066830073	1	1	1	1	0	1	16	0.2	1	0	1
27	4	190	1	10	1	0	0	1	NaN	NaN	NaN	NaN	NaN	0	2	1	1	10	0.6	1	1	0
27	4	191	0	NaN	1	NaN	NaN	NaN	1	1	785.147479997249	1	1	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	0
27	4	192	1	10	1	0.4	0	1	0	2	871.220996021293	2	0	0	4	1	1	12	NaN	1	1	0
27	4	193	0	NaN	1	NaN	NaN	NaN	0	2	906.943125999533	2	0	NaN	5	NaN	NaN	NaN	NaN	NaN	0	1
27	4	194	1	18	1	0.8	1	1	1	2	1456.84835000429	1	1	0	6	0	2	6	0.6	0	0	0
27	4	195	1	12	1	1	1	1	1	1	1204.4215160131	2	0	1	7	0	2	13	0.4	1	1	0
27	4	196	0	NaN	1	NaN	NaN	NaN	0.4	1	919.902472989634	2	0	NaN	8	NaN	NaN	NaN	NaN	NaN	1	1
27	4	197	1	12	1	0.4	0	1	0.2	1	1496.66856002295	2	0	0	9	1	1	15	0.6	1	0.4	1
27	4	198	0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	NaN	NaN	NaN	NaN	NaN	0.2	0
27	4	199	1	13	1	0.6	1	1	0.6	1	824.273292993894	2	0	1	11	0.2	2	16	0.4	1	NaN	0
27	4	200	1	13	1	0.6	1	1	0.6	2	966.804006020539	2	0	1	12	0.6	2	17	0.6	1	0.6	1
27	4	201	0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13	NaN	NaN	NaN	NaN	NaN	0.6	0
27	4	202	1	18	1	0.6	0	0	0	1	762.785085011274	2	0	0	14	1	1	14	1	0	NaN	0
27	4	203	1	12	1	1	0	0	0.4	2	969.876133982325	2	0	0	15	1	1	3	NaN	0	0	1
27	4	204	0	NaN	1	NaN	NaN	NaN	0.8	2	907.71332802251	1	1	NaN	16	NaN	NaN	NaN	NaN	NaN	0.4	0
27	4	205	0	NaN	1	NaN	NaN	NaN	0	2	1181.85713299317	2	0	NaN	17	NaN	NaN	NaN	NaN	NaN	0.8	0
27	4	206	1	13	1	0	1	0	0	2	1133.34705799934	2	0	1	18	0	2	5	0	0	0	1
